qualifying_groups_key,appearances,probability
ABDFHIJK,1544,0.0001544
ABCDFGJK,1355,0.0001355
ABDEHIJL,1290,0.000129
ABCDGHKL,1169,0.0001169
ABCDEGJL,1136,0.0001136
ABCDFGHI,1134,0.0001134
ABDEIJKL,1000,0.0001
ABCDFGIK,987,9.87e-05
ABCDEFHJ,823,8.23e-05
ABDEFGHL,810,8.1e-05
ABCDEFJK,772,7.72e-05
ABDGHJKL,739,7.39e-05
ABCDEGIL,726,7.26e-05
ABCDEHKL,680,6.8e-05
ABDFGHIJ,677,6.77e-05
ABDEFGKL,663,6.63e-05
ABDFGIJK,575,5.75e-05
ABCDEFHI,568,5.68e-05
ABDGHIKL,557,5.57e-05
ABCDHIJK,535,5.35e-05
ABCDEFIK,460,4.6e-05
ABDEGIJL,424,4.24e-05
ABDEHJKL,390,3.9e-05
ABCDFGHK,368,3.68e-05
ABDEFHIJ,350,3.5e-05
ABCDEFGJ,320,3.2e-05
ABCDEGHL,300,3e-05
ABDEFIJK,300,3e-05
ABDEHIKL,267,2.67e-05
ABCDEGKL,262,2.62e-05
ABCDGHIJ,236,2.36e-05
ABCDEFGI,233,2.33e-05
ABCDGIJK,224,2.24e-05
ABDFGHJK,221,2.21e-05
ABCDEFHK,211,2.11e-05
ABDEGHJL,161,1.61e-05
ABDFGHIK,159,1.59e-05
ABDEGJKL,146,1.46e-05
ABCDEHIJ,134,1.34e-05
ABDEFGIJ,130,1.3e-05
ABCDEIJK,128,1.28e-05
ABDEFHJK,115,1.15e-05
ABDEGHIL,108,1.08e-05
ABDEGIKL,104,1.04e-05
ABCDEFGH,92,9.2e-06
ABCDGHJK,83,8.3e-06
ABDEFHIK,74,7.4e-06
ABCDEFGK,70,7e-06
ABDEFGHJ,61,6.1e-06
ABDEGHKL,50,5e-06
ABCDGHIK,47,4.7e-06
ABCDEGIJ,46,4.6e-06
ABDEFGJK,43,4.3e-06
ABDGHIJK,36,3.6e-06
ABCDEHJK,32,3.2e-06
ABDEFGIK,29,2.9e-06
ABDEFGHI,29,2.9e-06
ABCDEHIK,27,2.7e-06
ABCDEGHJ,23,2.3e-06
ABDEFGHK,15,1.5e-06
ABCDEGJK,15,1.5e-06
ABDEHIJK,14,1.4e-06
ABDEGHIJ,8,8e-07
ABDEGIJK,8,8e-07
ABCDEGIK,7,7e-07
ABCDEGHI,5,5e-07
ABDEGHIK,4,4e-07
ABCDEGHK,4,4e-07
ABDEGHJK,3,3e-07
