match_id,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,p_over_25,p_under_25,totals_bookmaker_count,fit_model_p_win,fit_model_p_draw,fit_model_p_loss,fit_model_p_over_25,fit_loss,bookmaker_count
065b3573e875f8d23803357f73e5b99e,2026-06-19T19:00:00Z,Australia,USA,0.17455588805557434,0.2294874854893959,0.5959566264550298,0.8558324113934681,1.797507393983782,2.65333980537725,0.49528390616182527,0.5047160938381747,5,0.17516925181694715,0.22825119675058825,0.5965795514324647,0.49487717988426394,1.6440406931809437,18
065b3573e875f8d23803357f73e5b99e,2026-06-19T19:00:00Z,USA,Australia,0.5959566264550298,0.2294874854893959,0.17455588805557434,1.797507393983782,0.8558324113934681,2.65333980537725,0.49528390616182527,0.5047160938381747,5,0.5965795514324647,0.22825119675058825,0.17516925181694715,0.49487717988426394,1.6440406931809437,18
4cd769aa7bae0ad9762bd69b80ef2903,2026-06-19T22:00:00Z,Morocco,Scotland,0.5381564181034862,0.2689722610782488,0.192871320818265,1.5573761972223545,0.8295020050839146,2.386878202306269,0.4316596811873024,0.5683403188126976,4,0.5453435780790369,0.25497959419445865,0.19967682772650439,0.4268592341525801,1.6884257154748397,18
4cd769aa7bae0ad9762bd69b80ef2903,2026-06-19T22:00:00Z,Scotland,Morocco,0.192871320818265,0.2689722610782488,0.5381564181034862,0.8295020050839146,1.5573761972223545,2.386878202306269,0.4316596811873024,0.5683403188126976,4,0.19967682772650439,0.25497959419445865,0.5453435780790369,0.4268592341525801,1.6884257154748397,18
ef0f74a991d3e35798ae5af77667bce1,2026-06-20T01:00:00Z,Brazil,Haiti,0.8598864420535528,0.09439728253689018,0.04571627540955693,3.0859902702741167,0.6013823052730305,3.687372575547147,0.7111111111111111,0.28888888888888886,1,0.8581462347555142,0.09806663969349133,0.04378712555099441,0.712423713015292,1.0949242813671685,18
ef0f74a991d3e35798ae5af77667bce1,2026-06-20T01:00:00Z,Haiti,Brazil,0.04571627540955693,0.09439728253689018,0.8598864420535528,0.6013823052730305,3.0859902702741167,3.687372575547147,0.7111111111111111,0.28888888888888886,1,0.04378712555099441,0.09806663969349133,0.8581462347555142,0.712423713015292,1.0949242813671685,18
f955d4b3395ce6e3b5ac1031ca52ca4e,2026-06-20T03:00:00Z,Paraguay,Türkiye,0.2488361856517273,0.28707251703836856,0.4640912973099041,0.972671589790738,1.4203189633207716,2.3929905531115097,0.4345684752331758,0.5654315247668242,5,0.25802490013151697,0.26845623128143487,0.47351886858704806,0.42845884631524955,1.7461917373654878,18
f955d4b3395ce6e3b5ac1031ca52ca4e,2026-06-20T03:00:00Z,Türkiye,Paraguay,0.4640912973099041,0.28707251703836856,0.2488361856517273,1.4203189633207716,0.972671589790738,2.3929905531115097,0.4345684752331758,0.5654315247668242,5,0.47351886858704806,0.26845623128143487,0.25802490013151697,0.42845884631524955,1.7461917373654878,18
4f0c518545b0096c68326daf25bffc1e,2026-06-20T17:00:00Z,Netherlands,Sweden,0.5769424551091236,0.2400576152528121,0.18299992963806436,1.7687170750491703,0.8916437161452558,2.6603607911944263,0.4992,0.5008,5,0.5809478989853776,0.23209201009165262,0.18696009092296983,0.4966159679356307,1.663991925565954,18
4f0c518545b0096c68326daf25bffc1e,2026-06-20T17:00:00Z,Sweden,Netherlands,0.18299992963806436,0.2400576152528121,0.5769424551091236,0.8916437161452558,1.7687170750491703,2.6603607911944263,0.4992,0.5008,5,0.18696009092296983,0.23209201009165262,0.5809478989853776,0.4966159679356307,1.663991925565954,18
