qualifying_groups_key,option_number,match_75,match_78,match_79,match_80,match_81,match_82,match_85,match_88
ACDEFGHL,282,3C,3D,3H,3E,3A,3F,3G,3L
ACDEFGHK,283,3C,3F,3H,3K,3A,3E,3G,3D
ACDEFGHJ,284,3C,3F,3H,3E,3A,3J,3G,3D
ACDEFGHI,285,3C,3F,3H,3I,3A,3E,3G,3D
ABGHIJKL,286,3A,3G,3H,3K,3I,3B,3J,3L
ABFHIJKL,287,3A,3F,3H,3K,3I,3B,3J,3L
ABFGIJKL,288,3F,3G,3I,3K,3A,3B,3J,3L
ABFGHJKL,289,3F,3G,3H,3K,3A,3B,3J,3L
ABFGHIKL,290,3A,3F,3H,3K,3I,3B,3G,3L
ABFGHIJL,291,3F,3G,3H,3I,3A,3B,3J,3L
ABFGHIJK,292,3F,3G,3H,3K,3A,3B,3J,3I
ABEHIJKL,293,3A,3H,3E,3K,3I,3B,3J,3L
ABEGIJKL,294,3A,3G,3E,3K,3I,3B,3J,3L
ABEGHJKL,295,3A,3G,3E,3K,3H,3B,3J,3L
ABEGHIKL,296,3A,3H,3E,3K,3I,3B,3G,3L
ABEGHIJL,297,3A,3G,3E,3I,3H,3B,3J,3L
ABEGHIJK,298,3A,3G,3E,3K,3H,3B,3J,3I
ABEFIJKL,299,3A,3F,3E,3K,3I,3B,3J,3L
ABEFHJKL,300,3F,3H,3E,3K,3A,3B,3J,3L
ABEFHIKL,301,3F,3H,3E,3K,3A,3B,3I,3L
ABEFHIJL,302,3F,3H,3E,3I,3A,3B,3J,3L
ABEFHIJK,303,3F,3H,3E,3K,3A,3B,3J,3I
ABEFGJKL,304,3F,3G,3E,3K,3A,3B,3J,3L
ABEFGIKL,305,3A,3F,3E,3K,3I,3B,3G,3L
ABEFGIJL,306,3F,3G,3E,3I,3A,3B,3J,3L
ABEFGIJK,307,3F,3G,3E,3K,3A,3B,3J,3I
ABEFGHKL,308,3F,3H,3E,3K,3A,3B,3G,3L
ABEFGHJL,309,3F,3G,3H,3E,3A,3B,3J,3L
ABEFGHJK,310,3F,3G,3H,3K,3A,3B,3J,3E
ABEFGHIL,311,3F,3H,3E,3I,3A,3B,3G,3L
ABEFGHIK,312,3F,3H,3E,3K,3A,3B,3G,3I
ABEFGHIJ,313,3F,3G,3H,3I,3A,3B,3J,3E
ABDHIJKL,314,3D,3H,3I,3K,3A,3B,3J,3L
ABDGIJKL,315,3D,3G,3I,3K,3A,3B,3J,3L
ABDGHJKL,316,3D,3G,3H,3K,3A,3B,3J,3L
ABDGHIKL,317,3D,3H,3I,3K,3A,3B,3G,3L
ABDGHIJL,318,3D,3G,3H,3I,3A,3B,3J,3L
ABDGHIJK,319,3D,3G,3H,3K,3A,3B,3J,3I
ABDFIJKL,320,3D,3F,3I,3K,3A,3B,3J,3L
ABDFHJKL,321,3D,3F,3H,3K,3A,3B,3J,3L
ABDFHIKL,322,3D,3F,3H,3K,3A,3B,3I,3L
ABDFHIJL,323,3D,3F,3H,3I,3A,3B,3J,3L
ABDFHIJK,324,3D,3F,3H,3K,3A,3B,3J,3I
ABDFGJKL,325,3D,3G,3F,3K,3A,3B,3J,3L
ABDFGIKL,326,3D,3F,3I,3K,3A,3B,3G,3L
ABDFGIJL,327,3D,3G,3F,3I,3A,3B,3J,3L
ABDFGIJK,328,3D,3G,3F,3K,3A,3B,3J,3I
ABDFGHKL,329,3D,3F,3H,3K,3A,3B,3G,3L
ABDFGHJL,330,3D,3F,3H,3J,3A,3B,3G,3L
ABDFGHJK,331,3D,3F,3H,3K,3A,3B,3G,3J
ABDFGHIL,332,3D,3F,3H,3I,3A,3B,3G,3L
ABDFGHIK,333,3D,3F,3H,3K,3A,3B,3G,3I
ABDFGHIJ,334,3D,3F,3H,3J,3A,3B,3G,3I
ABDEIJKL,335,3A,3D,3E,3K,3I,3B,3J,3L
ABDEHJKL,336,3D,3H,3E,3K,3A,3B,3J,3L
ABDEHIKL,337,3D,3H,3E,3K,3A,3B,3I,3L
ABDEHIJL,338,3D,3H,3E,3I,3A,3B,3J,3L
ABDEHIJK,339,3D,3H,3E,3K,3A,3B,3J,3I
ABDEGJKL,340,3D,3G,3E,3K,3A,3B,3J,3L
ABDEGIKL,341,3A,3D,3E,3K,3I,3B,3G,3L
ABDEGIJL,342,3D,3G,3E,3I,3A,3B,3J,3L
ABDEGIJK,343,3D,3G,3E,3K,3A,3B,3J,3I
ABDEGHKL,344,3D,3H,3E,3K,3A,3B,3G,3L
ABDEGHJL,345,3D,3G,3H,3E,3A,3B,3J,3L
ABDEGHJK,346,3D,3G,3H,3K,3A,3B,3J,3E
ABDEGHIL,347,3D,3H,3E,3I,3A,3B,3G,3L
ABDEGHIK,348,3D,3H,3E,3K,3A,3B,3G,3I
ABDEGHIJ,349,3D,3G,3H,3I,3A,3B,3J,3E
ABDEFJKL,350,3D,3F,3E,3K,3A,3B,3J,3L
ABDEFIKL,351,3D,3F,3E,3K,3A,3B,3I,3L
ABDEFIJL,352,3D,3F,3E,3I,3A,3B,3J,3L
ABDEFIJK,353,3D,3F,3E,3K,3A,3B,3J,3I
ABDEFHKL,354,3D,3F,3H,3K,3A,3B,3E,3L
ABDEFHJL,355,3D,3F,3H,3E,3A,3B,3J,3L
ABDEFHJK,356,3D,3F,3H,3K,3A,3B,3J,3E
ABDEFHIL,357,3D,3F,3H,3I,3A,3B,3E,3L
