match_id,match_number,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,bookmaker_count
5ae41a06735c926eeb7f74006933adce,7,2026-06-14T01:00:00Z,Haiti,Scotland,0.16226708058385958,0.2285435820116028,0.6091893374045376,0.8594017075066035,1.8688576814032487,2.7282593889098523,20
5ae41a06735c926eeb7f74006933adce,7,2026-06-14T01:00:00Z,Scotland,Haiti,0.6091893374045376,0.2285435820116028,0.16226708058385958,1.8688576814032487,0.8594017075066035,2.7282593889098523,20
564084f52cc9f1abcc18187c168a7cdc,8,2026-06-14T04:00:00Z,Australia,Türkiye,0.18241567167224054,0.25628965347304844,0.5612946748547111,0.8812364589137921,1.6954783332317986,2.576714792145591,20
564084f52cc9f1abcc18187c168a7cdc,8,2026-06-14T04:00:00Z,Türkiye,Australia,0.5612946748547111,0.25628965347304844,0.18241567167224054,1.6954783332317986,0.8812364589137921,2.576714792145591,20
d79edbd6aaeb578d33e313446b18d333,9,2026-06-14T17:00:00Z,Curaçao,Germany,0.02601494535694491,0.05758997422758415,0.9163950804154709,0.5273664375750666,3.691565063025468,4.218931500600535,20
d79edbd6aaeb578d33e313446b18d333,9,2026-06-14T17:00:00Z,Germany,Curaçao,0.9163950804154709,0.05758997422758415,0.02601494535694491,3.691565063025468,0.5273664375750666,4.218931500600535,20
32ec06abda2398ac41501c86eb9aa376,10,2026-06-14T20:00:00Z,Japan,Netherlands,0.26110092572293947,0.27089114154569444,0.46800793273136615,1.107127084942002,1.547853934103566,2.654981019045568,19
32ec06abda2398ac41501c86eb9aa376,10,2026-06-14T20:00:00Z,Netherlands,Japan,0.46800793273136615,0.27089114154569444,0.26110092572293947,1.547853934103566,1.107127084942002,2.654981019045568,19
05752bb341e197001387b64f3a06b9b2,11,2026-06-14T23:00:00Z,Ecuador,Ivory Coast,0.39468209071659544,0.33702046565260463,0.2682974436307999,1.1764807925353178,0.9394918559094985,2.1159726484448163,19
05752bb341e197001387b64f3a06b9b2,11,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,0.2682974436307999,0.33702046565260463,0.39468209071659544,0.9394918559094985,1.1764807925353178,2.1159726484448163,19
b55f9569de3f4d731bc5537ff5ff43e4,12,2026-06-15T02:00:00Z,Sweden,Tunisia,0.49800958647277516,0.28018920499201905,0.2218012085352058,1.461235086351152,0.8994031791595944,2.3606382655107465,19
b55f9569de3f4d731bc5537ff5ff43e4,12,2026-06-15T02:00:00Z,Tunisia,Sweden,0.2218012085352058,0.28018920499201905,0.49800958647277516,0.8994031791595944,1.461235086351152,2.3606382655107465,19
c54f00b11925751d2b62988775c6c239,13,2026-06-15T16:00:00Z,Cape Verde,Spain,0.039065651534613104,0.08837381832800677,0.8725605301373802,0.5204569309587854,3.0938273118105575,3.614284242769343,19
c54f00b11925751d2b62988775c6c239,13,2026-06-15T16:00:00Z,Spain,Cape Verde,0.8725605301373802,0.08837381832800677,0.039065651534613104,3.0938273118105575,0.5204569309587854,3.614284242769343,19
